cell_id,factor_structure,factor_capacity_level,factor_support_intensity,seed,horizon_days,control_capability,withdrawn_capability,supported_capability,supported_vs_control,retained_vs_control,dependency_gap
phase_069,logistics_constrained,0.8,1.5,2026200009,360,0.835362414,0.0,0.0,-0.835362414,-0.835362414,0.0
phase_069,logistics_constrained,0.8,1.5,2026200010,7,0.0,0.646182813,0.87966984,0.87966984,0.646182813,0.233487027
phase_069,logistics_constrained,0.8,1.5,2026200010,30,0.0,0.0,0.825683394,0.825683394,0.0,0.825683394
phase_069,logistics_constrained,0.8,1.5,2026200010,90,0.0,0.0,0.696758405,0.696758405,0.0,0.696758405
phase_069,logistics_constrained,0.8,1.5,2026200010,180,0.0,0.0,0.0,0.0,0.0,0.0
phase_069,logistics_constrained,0.8,1.5,2026200010,360,0.0,0.0,0.0,0.0,0.0,0.0
phase_069,logistics_constrained,0.8,1.5,2026200011,7,0.884819282,0.896098424,0.899005486,0.014186203999999925,0.011279141999999909,0.002907062000000016
phase_069,logistics_constrained,0.8,1.5,2026200011,30,0.883191835,0.862965784,0.874450774,-0.008741060999999939,-0.020226050999999967,0.011484990000000028
phase_069,logistics_constrained,0.8,1.5,2026200011,90,0.889931789,0.422649442,0.518777061,-0.37115472800000004,-0.46728234700000004,0.096127619
phase_069,logistics_constrained,0.8,1.5,2026200011,180,0.884115219,0.0,0.0,-0.884115219,-0.884115219,0.0
phase_069,logistics_constrained,0.8,1.5,2026200011,360,0.864030882,0.0,0.0,-0.864030882,-0.864030882,0.0
phase_070,logistics_constrained,0.8,2.0,2026200000,7,0.823153716,0.853834004,0.856985951,0.03383223499999999,0.030680288,0.0031519469999999883
phase_070,logistics_constrained,0.8,2.0,2026200000,30,0.522322822,0.87657811,0.879060332,0.35673751,0.35425528799999995,0.002482222000000034
phase_070,logistics_constrained,0.8,2.0,2026200000,90,0.0,0.902090055,0.902098375,0.902098375,0.902090055,8.320000000061611e-06
